Incident Type,Date,Location,Number of Victims,Responsible Party,Latitude,Longitude,Source
Civilian Bombing,2000-01-01,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2000-01-16,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2000-01-31,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2000-02-15,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2000-03-01,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2000-03-16,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2000-03-31,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2000-04-15,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2000-04-30,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2000-05-15,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2000-05-30,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2000-06-14,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2000-06-29,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2000-07-14,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2000-07-29,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2000-08-13,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2000-08-28,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2000-09-12,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2000-09-27,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2000-10-12,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2000-10-27,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2000-11-11,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2000-11-26,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2000-12-11,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2000-12-26,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2001-01-10,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2001-01-25,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2001-02-09,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2001-02-24,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2001-03-11,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2001-03-26,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2001-04-10,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2001-04-25,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2001-05-10,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2001-05-25,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2001-06-09,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2001-06-24,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2001-07-09,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2001-07-24,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2001-08-08,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2001-08-23,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2001-09-07,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2001-09-22,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2001-10-07,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2001-10-22,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2001-11-06,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2001-11-21,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2001-12-06,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2001-12-21,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2002-01-05,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2002-01-20,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2002-02-04,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2002-02-19,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2002-03-06,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2002-03-21,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2002-04-05,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2002-04-20,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2002-05-05,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2002-05-20,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2002-06-04,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2002-06-19,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2002-07-04,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2002-07-19,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2002-08-03,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2002-08-18,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2002-09-02,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2002-09-17,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2002-10-02,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2002-10-17,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2002-11-01,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2002-11-16,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2002-12-01,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2002-12-16,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2002-12-31,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2003-01-15,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2003-01-30,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2003-02-14,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
Ethnic Cleansing,2003-03-01,"Rakhine, Myanmar",24000,Myanmar Military,20.5,92.9,Human Rights Watch 2017
Sexual Violence,2003-03-16,Congo,120,Militias in Congo,-4.04,29.9,Human Rights Watch 2018
Hospital Bombing,2003-03-31,"Kunduz, Afghanistan",42,US Air Force,36.73,68.87,MSF Report 2016
Cluster Munitions,2003-04-15,"Nagorno-Karabakh, Azerbaijan",52,Armenian Armed Forces,39.8,46.8,HRW Report 2020
Civilian Bombing,2003-04-30,"Gaza, Palestine",78,Israel Air Force,31.5,34.5,UN Report 2024-11-02
Blocked Humanitarian Aid,2003-05-15,Yemen,2000000,Saudi-led Coalition,15.55,48.5,WHO 2024
Chemical Weapon Use,2003-05-30,"Ghouta, Syria",1400,Assad Regime,33.5,36.3,OPCW Investigation 2013
Forced Displacement,2003-06-14,Ukraine,1000000,Russian Armed Forces,48.3,31.1,UNHCR 2022 Report
Mass Executions,2003-06-29,"Sindh, Iraq",2000,ISIS,35.5,43.5,Amnesty International Report 2014
